0,none,MPUI_NONE,icon_weapon_ph_camo,0,1
1,snow,LUA_MENU_CAMO_SNOW,img_camo_iw6_snow,27,1
2,brush,LUA_MENU_CAMO_BRUSH,img_camo_iw6_brush,20,1
3,autumn,LUA_MENU_CAMO_AUTUMN,img_camo_iw6_autumn,19,1
4,ocean,LUA_MENU_CAMO_OCEAN,img_camo_iw6_ocean,25,1
5,tan,LUA_MENU_CAMO_SCALE,img_camo_iw6_tan,28,1
6,red,LUA_MENU_CAMO_RED,img_camo_iw6_red,26,1
7,caustic,LUA_MENU_CAMO_CAUSTIC,img_camo_iw6_caustic,21,1
8,dark,LUA_MENU_CAMO_DARK,img_camo_iw6_dark,22,1
9,green,LUA_MENU_CAMO_GREEN,img_camo_iw6_green,23,1
10,net,LUA_MENU_CAMO_NET,img_camo_iw6_net,24,1
11,trail,LUA_MENU_CAMO_TRAIL,img_camo_iw6_trail,29,1
12,winter,LUA_MENU_CAMO_WINTER,img_camo_iw6_winter,30,1
13,gold,LUA_MENU_CAMO_GOLD,img_camo_iw6_gold,1,1
14,camo23,LUA_MENU_MP_PACK_LEOPARD,img_camo_iw6_camo23,36,0
15,camo29,LUA_MENU_MP_PACK_ABSTRACT,img_camo_iw6_camo29,42,0
16,camo30,LUA_MENU_MP_PACK_DRAGON,img_camo_iw6_camo30,43,0
17,camo31,LUA_MENU_MP_PACK_PIRATE_SKULLS,img_camo_iw6_camo31,44,0
18,camo32,LUA_MENU_MP_PACK_SAILOR_JERRY,img_camo_iw6_camo32,45,0
19,camo33,LUA_MENU_MP_PACK_LIME_WOLF,img_camo_iw6_camo33,46,0
20,camo28,LUA_MENU_MP_PACK_FLAGS,img_camo_iw6_camo28,41,0
21,camo26,LUA_MENU_MP_PACK_UNICORN,img_camo_iw6_camo26,39,0
22,camo25,LUA_MENU_MP_PACK_METAL,img_camo_iw6_camo25,38,0
23,camo22,LUA_MENU_MP_PACK_KOI,img_camo_iw6_camo22,35,0
24,camo21,LUA_MENU_MP_PACK_FITNESS,img_camo_iw6_camo21,34,0
25,camo11,LUA_MENU_MP_PACK_EXTINCTION,img_camo_iw6_camo11,11,0
26,camo08,LUA_MENU_MP_PACK_BLING,img_camo_iw6_camo08,8,0
27,camo06,LUA_MENU_MP_PACK_S1,img_camo_iw6_camo06,6,0
28,camo15,LUA_MENU_MP_PACK_SOAP,img_camo_iw6_camo15,15,0
29,camo20,LUA_MENU_MP_PACK_BLUNTFORCE,img_camo_iw6_camo20,33,0
30,camo09,LUA_MENU_MP_PACK_CRISIS,img_camo_iw6_camo09,9,0
31,camo19,LUA_MENU_MP_PACK_BLOODSHOT,img_camo_iw6_camo19,32,0
32,camo16,LUA_MENU_MP_PACK_80S,img_camo_iw6_camo16,16,0
33,camo17,LUA_MENU_MP_PACK_HEARTLANDS,img_camo_iw6_camo17,17,0
34,camo14,LUA_MENU_MP_PACK_MOLTEN,img_camo_iw6_camo14,14,0
35,camo13,LUA_MENU_MP_PACK_MAKAROV,img_camo_iw6_camo13,13,0
36,camo18,DLC_PACK_CIRCUIT,img_camo_iw6_camo18,31,0
37,camo10,DLC_PACK_CATS,img_camo_iw6_camo10,10,0
38,camo24,DLC_PACK_PRICE,img_camo_iw6_camo24,37,0
39,camo27,DLC_PACK_RUBBER_DUCKY,img_camo_iw6_camo27,40,0
40,camo07,DLC_PACK_FLAME,img_camo_iw6_camo07,7,0
41,clan01,LUA_MENU_CAMO_CLAN_01,img_camo_iw6_camo01,18,1
42,clan02,LUA_MENU_CAMO_CLAN_02,img_camo_iw6_camo02,2,1
43,camo03,LUA_MENU_CAMO_CLAN_03,img_camo_iw6_camo03,3,0
44,camo12,LUA_MENU_CAMO_FESTIVE,img_camo_iw6_camo12,12,0
45,camo04,LUA_MENU_CAMO_DLC_04,img_camo_iw6_camo04,4,0
46,camo05,LUA_MENU_CAMO_DLC_05,img_camo_iw6_camo05,5,0
