ch_longersprint_pro,OPERATIONS_MARATHON_MASTER,OPERATIONS_DESC_MARATHON_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,26400,500,105600,750,211200,1000,,,,,,,,,,
ch_sleightofhand_pro,OPERATIONS_SLEIGHT_OF_HAND_MASTER,OPERATIONS_DESC_SLEIGHT_OF_HAND_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,50,500,150,750,300,1000,,,,,,,,,,
ch_scavenger_pro,OPERATIONS_SCAVENGER_MASTER,OPERATIONS_DESC_SCAVENGER_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,100,500,200,750,400,1000,,,,,,,,,,
ch_blindeye_pro,OPERATIONS_BLIND_EYE_MASTER,OPERATIONS_DESC_BLIND_EYE_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,20,500,40,750,80,1000,,,,,,,,,,
ch_paint_pro,OPERATIONS_RECON_MASTER,OPERATIONS_DESC_RECON_MASTER,CHALLENGE_LEVEL,10,perk_slot_0,,,,80,500,160,750,320,1000,,,,,,,,,,
ch_hardline_pro,OPERATIONS_HARDLINE_MASTER,OPERATIONS_DESC_HARDLINE_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,75,500,150,750,300,1000,,,,,,,,,,
ch_offthegrid,OPERATIONS_OFF_THE_GRID_MASTER,OPERATIONS_DESC_OFF_THE_GRID_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,100,500,250,750,500,1000,,,,,,,,,,
ch_quickdraw_pro,OPERATIONS_QUICKDRAW_MASTER,OPERATIONS_DESC_QUICKDRAW_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_twoprimaries_pro,OPERATIONS_OVERKILL,OPERATIONS_DESC_OVERKILL,CHALLENGE_LEVEL,10,perk_slot_1,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_blastshield_pro,OPERATIONS_BLAST_SHIELD_MASTER,OPERATIONS_DESC_BLAST_SHIELD_MASTER,CHALLENGE_LEVEL,10,perk_slot_1,,,,75,500,250,750,500,1000,,,,,,,,,,
ch_detectexplosives_pro,OPERATIONS_SITREP_MASTER,OPERATIONS_DESC_SITREP_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,500,150,750,300,1000,,,,,,,,,,
ch_bulletaccuracy_pro,OPERATIONS_STEADY_AIM_MASTER,OPERATIONS_DESC_STEADY_AIM_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_deadsilence_pro,OPERATIONS_DEAD_SILENCE_MASTER,OPERATIONS_DESC_DEAD_SILENCE_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,500,150,750,300,1000,,,,,,,,,,
ch_stalker_pro,OPERATIONS_STALKER_MASTER,OPERATIONS_DESC_STALKER_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_lightweight,OPERATIONS_LIGHTWEIGHT,OPERATIONS_DESC_LIGHTWEIGHT,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_explosivedamage,OPERATIONS_DANGER_CLOSE_MASTER,OPERATIONS_DESC_DANGER_CLOSE_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,500,250,750,500,1000,,,,,,,,,,
ch_deadeye,OPERATIONS_DEADEYE_MASTER,OPERATIONS_DESC_DEADEYE_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_extra_attachment,OPERATIONS_EXTRA_ATTACHMENT_MASTER,OPERATIONS_DESC_EXTRA_ATTACHMENT_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,120,500,350,750,750,1000,,,,,,,,,,
ch_extra_deadly,OPERATIONS_EXTRA_LETHAL_MASTER,OPERATIONS_DESC_EXTRA_LETHAL_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,50,500,150,750,300,1000,,,,,,,,,,
ch_sharp_focus,OPERATIONS_FOCUS_MASTER,OPERATIONS_DESC_FOCUS_MASTER,CHALLENGE_LEVEL,10,perk_slot_2,,,,75,500,250,750,500,1000,,,,,,,,,,
