damage_feedback,1,1,c,s,standard,,,,
damage_feedback_other,1,,c,s,standard,,,,
ui_bomb_timer,1,1,g,i,0,0,5,,
ui_bomb_timer_endtime,,,g,t,0,,,,
ui_nuke_end_milliseconds,,,g,t,0,,,,
ui_killcam_end_milliseconds,1,,c,t,0,,,,
ui_killcam_killedby_id,,,c,i,-1,-1,30,,
ui_killcam_victim_id,,,c,i,-1,-1,30,,
ui_killcam_killedby_killstreak,,,c,i,-1,-1,510,,
ui_killcam_killedby_weapon,,,c,i,-1,-1,510,,
ui_killcam_killedby_attachment1,,,c,i,-1,-1,510,,
ui_killcam_killedby_attachment2,,,c,i,-1,-1,510,,
ui_killcam_killedby_attachment3,,,c,i,-1,-1,510,,
ui_killcam_killedby_attachment4,,,c,i,-1,-1,510,,
ui_killcam_killedby_abilities1,,,c,i,0,0,16777215,,# we use this as a bit mask, 2^24 - 1, sending 24 bits
ui_killcam_killedby_abilities2,,,c,i,0,0,16777215,,# we use this as a bit mask, 2^24 - 1, sending 24 bits
ui_killcam_text,,,c,s,none,,,,
killcam_scene,,,c,i,-1,-1,4,,# code uses this to select which cinematic camera scene to play. regular killcam or final
ui_killcam_victim_or_attacker,1,,c,i,-1,-1,1,,
cam_scene_name,1,,c,s,unknown,,,,
cam_scene_lead,,,c,i,-1,-1,2046,,#lead actor id (entity) for the scene specified in 'cam_scene_name'
cam_scene_support,,,c,i,-1,-1,2046,,#supporting actor id (entity) for the scene specified in 'cam_scene_name'
ui_spawn_abilities1,,,c,i,0,0,16777215,,# we use this as a bit mask, 2^24 - 1, sending 24 bits
ui_spawn_abilities2,,,c,i,0,0,16777215,,# we use this as a bit mask, 2^24 - 1, sending 24 bits
ui_spawn_abilities_show,1,,c,i,0,0,1,,
ui_splash_idx,1,,c,i,-1,-1,2046,,
ui_splash_optional_number,,,c,i,0,0,65535,,# will be sent as a short
ui_splash_killstreak_idx,1,,c,i,-1,-1,2046,,
ui_splash_killstreak_clientnum,,,c,i,-1,-1,30,,
ui_splash_killstreak_optional_number,,,c,i,0,0,65535,,# will be sent as a short
ui_half_tick,,,c,b,,,,,
ui_splash_playercard_idx,1,,c,i,-1,-1,2046,,
ui_splash_playercard_clientnum,,,c,i,-1,-1,42,,
ui_splash_playercard_optional_number,,,c,i,0,0,65535,,# will be sent as a short
ui_carrying_bomb,1,1,c,b,,,,,
ui_bomb_carrier,1,1,g,i,-1,-1,30,,# client number of the player carrying the bomb
ui_bomb_planting_defusing,1,1,c,i,0,0,2,,
ui_planting_defusing_progress,,1,c,f,0,0,1,,
ui_securing,1,,c,i,0,0,10,,
ui_securing_progress,,,c,f,0,0,1,,
ui_dom_securing,1,1,c,i,0,0,3,,
ui_dom_progress,,1,c,f,0,0,1,,
ui_dom_stalemate,,1,c,i,0,0,1,,
ui_light_armor,1,,c,b,,,,,
ui_odin,1,1,c,i,-1,-1,3,,
ui_odin_smoke_ammo,1,1,c,i,-1,-2,3,,
ui_odin_airdrop_ammo,1,1,c,i,-1,-1,3,,
ui_odin_marking_ammo,1,1,c,i,-1,-2,3,,
ui_odin_juggernaut_ammo,1,1,c,i,-1,-3,3,,
ui_cranked_bomb_timer_end_milliseconds,1,1,c,t,0,,,,
ui_cranked_bomb_timer_final_seconds,1,1,c,i,0,0,1,,#this could be done clientside
ui_cranked_bomb_timer_text,1,,c,s,none,,,,
