weapon_assault_brush,_crouch,5,0,0,,,,
weapon_assault_autumn,_assists,4,0,0,,,,
weapon_assault_ocean,_defender,3,0,0,,,,
weapon_assault_snow,,2,0,0,,,,
weapon_assault_red,_noattach,6,0,0,,,,
weapon_assault_dark,_longshot,4,0,0,,,,
weapon_assault_caustic,_consecutive,4,0,0,,,,
weapon_assault_net,,5,0,0,,,,
weapon_assault_green,_pointblank,3,0,0,,,,
weapon_assault_trail,_reload,3,0,0,,,,
weapon_assault_winter,_sliding,3,0,0,,,,
weapon_assault_tan,_leaning,3,0,0,,,,
weapon_assault_gold,_allcamo,1,0,0,,,,
weapon_smg_brush,_crouch,4,0,0,,,,
weapon_smg_autumn,_assists,4,0,0,,,,
weapon_smg_ocean,_defender,3,0,0,,,,
weapon_smg_snow,,2,0,0,,,,
weapon_smg_red,_noattach,6,0,0,,,,
weapon_smg_dark,_hipfire,4,0,0,,,,
weapon_smg_caustic,_consecutive,4,0,0,,,,
weapon_smg_net,,5,0,0,,,,
weapon_smg_green,_pointblank,3,0,0,,,,
weapon_smg_trail,_reload,3,0,0,,,,
weapon_smg_winter,_sliding,4,0,0,,,,
weapon_smg_tan,_leaning,2,0,0,,,,
weapon_smg_gold,_allcamo,1,0,0,,,,
weapon_lmg_brush,_crouch,4,0,0,,,,
weapon_lmg_autumn,_assists,4,0,0,,,,
weapon_lmg_ocean,_defender,3,0,0,,,,
weapon_lmg_snow,,2,0,0,,,,
weapon_lmg_red,_noattach,6,0,0,,,,
weapon_lmg_dark,_hipfire,4,0,0,,,,
weapon_lmg_caustic,_consecutive,4,0,0,,,,
weapon_lmg_net,,5,0,0,,,,
weapon_lmg_green,_pointblank,3,0,0,,,,
weapon_lmg_trail,_penetrate,3,0,0,,,,
weapon_lmg_winter,_sliding,3,0,0,,,,
weapon_lmg_tan,_leaning,3,0,0,,,,
weapon_lmg_gold,_allcamo,1,0,0,,,,
weapon_dmr_brush,_crouch,4,0,0,,,,
weapon_dmr_autumn,_assists,4,0,0,,,,
weapon_dmr_ocean,_defender,3,0,0,,,,
weapon_dmr_snow,,2,0,0,,,,
weapon_dmr_red,_longshot,4,0,0,,,,
weapon_dmr_dark,_headshot,5,0,0,,,,
weapon_dmr_caustic,_consecutive,4,0,0,,,,
weapon_dmr_net,,5,0,0,,,,
weapon_dmr_green,_noattach,6,0,0,,,,
weapon_dmr_trail,_reload,3,0,0,,,,
weapon_dmr_winter,_pointblank,3,0,0,,,,
weapon_dmr_tan,_leaning,3,0,0,,,,
weapon_dmr_gold,_allcamo,1,0,0,,,,
weapon_sniper_brush,_crouch,4,0,0,,,,
weapon_sniper_autumn,_oneshotkill,3,0,0,,,,
weapon_sniper_ocean,_defender,3,0,0,,,,
weapon_sniper_snow,,2,0,0,,,,
weapon_sniper_red,_prone,4,0,0,,,,
weapon_sniper_dark,_oneshotkill,5,0,0,,,,
weapon_sniper_caustic,_consecutive,4,0,0,,,,
weapon_sniper_net,,5,0,0,,,,
weapon_sniper_green,_noattach,4,0,0,,,,
weapon_sniper_trail,_reload,4,0,0,,,,
weapon_sniper_winter,_penetrate,4,0,0,,,,
weapon_sniper_tan,_leaning,3,0,0,,,,
weapon_sniper_gold,_allcamo,1,0,0,,,,
weapon_shotgun_brush,_crouch,4,0,0,,,,
weapon_shotgun_autumn,_assist,4,0,0,,,,
weapon_shotgun_ocean,_defender,3,0,0,,,,
weapon_shotgun_snow,,2,0,0,,,,
weapon_shotgun_red,_noattach,4,0,0,,,,
weapon_shotgun_dark,_hipfire,4,0,0,,,,
weapon_shotgun_caustic,_consecutive,4,0,0,,,,
weapon_shotgun_net,,5,0,0,,,,
weapon_shotgun_green,_pointblank,3,0,0,,,,
weapon_shotgun_trail,_reload,3,0,0,,,,
weapon_shotgun_winter,_sliding,3,0,0,,,,
weapon_shotgun_tan,_headshot,4,0,0,,,,
weapon_shotgun_gold,_allcamo,1,0,0,,,,
weapon_riot_brush,_crouch,4,0,0,,,,
weapon_riot_autumn,_assist,3,0,0,,,,
weapon_riot_ocean,_damage,2,0,0,,,,
weapon_riot_snow,,2,0,0,,,,
weapon_riot_red,_throwingknife,4,0,0,,,,
weapon_riot_dark,_c4,4,0,0,,,,
weapon_riot_caustic,_pistol,4,0,0,,,,
weapon_riot_net,,4,0,0,,,,
weapon_riot_green,_explosive,4,0,0,,,,
weapon_riot_trail,_backsmasher,3,0,0,,,,
weapon_riot_winter,_consecutive,2,0,0,,,,
weapon_riot_tan,_noperks,5,0,0,,,,
weapon_riot_gold,_allcamo,1,0,0,,,,
acog_ret01,ch_acog_longshot,3,0,0,,,,
acog_ret02,ch_acog_prone,4,0,0,,,,
acog_ret03,ch_acog_longshot,4,0,0,,,,
acog_ret04,ch_acog_headshot,4,0,0,,,,
acog_ret05,ch_acog_double,3,0,0,,,,
acog_acog01,ch_acog_prone,6,0,0,,,,
acog_acog02,ch_acog_longshot,5,0,0,,,,
acog_acog03,ch_acog_headshot,5,0,0,,,,
acog_acog04,ch_acog_double,4,0,0,,,,
acog_acog05,ch_acog_oneshot,6,0,0,,,,
eotech_ret01,ch_eotech_headshot,3,0,0,,,,
eotech_ret02,ch_eotech_burst,3,0,0,,,,
