a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,833,2833,1,0,1,ch_zombie_1,CHALLENGE_ZOMBIE,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
2,2,835,2835,1,0,1,ch_dirtyharry_1,CHALLENGE_DIRTYHARRY,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
3,3,830,2830,1,0,1,ch_vampire_1,CHALLENGE_VAMPIRE,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
4,4,839,2839,1,0,1,ch_body_armor_1,CHALLENGE_BODY_ARMOR,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
5,5,836,2836,1,0,1,ch_morphine_1,CHALLENGE_MORPHINE,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
6,6,838,2838,1,0,1,ch_flak_jacket_1,CHALLENGE_FLAK_JACKET,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
7,7,837,2837,1,0,1,ch_thunder_1,CHALLENGE_THUNDER,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
8,8,831,2831,1,0,1,ch_sticksstones_1,CHALLENGE_STICKSSTONES,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
9,9,834,2834,1,0,1,ch_paintball_1,CHALLENGE_PAINTBALL,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
10,10,841,2841,1,0,1,ch_dead_hands_1,CHALLENGE_DEAD_HANDS,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
11,11,840,2840,1,0,1,ch_hard_headed_1,CHALLENGE_HARD_HEADED,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
12,12,832,2832,1,0,1,ch_berserker_1,CHALLENGE_BERSERKER,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
13,13,842,2842,1,0,1,ch_hardcore_1,CHALLENGE_HARDCORE,CHALLENGE_COMPLETE_MISSION_WITH_THIS,50,,,,,1
