zombify_player,0
spectators_respawn,1
zombie_health_increase,100
zombie_health_increase_percent,10
zombie_intermission_time,15
mbie_score_start,500
zombie_score_kill,50
zombie_score_damage,5
zombie_score_bonus_melee,80
zombie_score_bonus_head,50
zombie_score_bonus_neck,20
zombie_score_bonus_torso,10
zombie_score_bonus_burn,10
penalty_no_revive_percent,10
penalty_died_percent,0
penalty_downed_percent,5
rebuild_barrier_cap_per_round,500
zombie_flame_dmg_point_delay,500
zombie_powerup_point_doubler_time,30
zombie_powerup_insta_kill_time,30
zombie_powerup_drop_increment,2000
zombie_powerup_drop_max_per_round,4
colt,50
colt_dirty_harry,100
nambu,50
sw_357,100
tokarev,50
walther,50
zombie_colt,25
kar98k,200
kar98k_bayonet,200
mosin_rifle,200
mosin_rifle_bayonet,200
springfield,200
springfield_bayonet,200
type99_rifle,200
type99_rifle_bayonet,200
gewehr43,600
m1carbine,600
m1carbine_bayonet,600
m1garand,600
m1garand_bayonet,600
svt40,600
fraggrenade,250
molotov,200
stick_grenade,250
stielhandgranate,250
type97_frag,250
kar98k_scoped_zombie,750
kar98k_scoped_bayonet_zombie,750
mosin_rifle_scoped_zombie,750
mosin_rifle_scoped_bayonet_zombie,750
ptrs41_zombie,750
springfield_scoped_zombie,750
springfield_scoped_bayonet_zombie,750
type99_rifle_scoped_zombie,750
type99_rifle_scoped_bayonet_zombie,750
mp40,1000
ppsh,2000
stg44,1200
thompson,1200
type100_smg,1000
doublebarrel,1200
doublebarrel_sawed_grip,1200
shotgun,1500
30cal,3000
bar,1800
dp28,2250
fg42,1500
fg42_scoped,1500
mg42,3000
type99_lmg,1750
m1garand_gl,1200
mosin_launcher,1200
30cal_bipod,3500
bar_bipod,2500
dp28_bipod,2500
fg42_bipod,2000
mg42_bipod,3250
type99_lmg_bipod,2250
bazooka,2000
panzerschrek,2000
m2_flamethrower_zombie,3000
mortar_round,2000
satchel_charge,2000
ray_gun,10000
