a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,11,601,2601,1,0,1,ch_uav,CHALLENGE_RADAR_INBOUND,CHALLENGE_KILL_3_ENEMIES_WITHOUT,50,,,,b,1
2,12,602,2602,1,0,1,ch_artillary,CHALLENGE_ARTILLARY_INBOUND,CHALLENGE_KILL_5_ENEMIES_WITHOUT,50,,,,b,1
3,13,603,2603,1,0,1,ch_dogs,CHALLENGE_DOGS_INBOUND,CHALLENGE_KILL_7_ENEMIES_WITHOUT,50,,,,b,1
4,14,604,2604,1,0,1,ch_selfdefense,CHALLENGE_SELF_DEFENSE,CHALLENGE_SHOOT_DOWN_AN_ENEMY_ATTACK_DOG,50,,,,b,1
5,15,605,2605,1647360,0,1,ch_marathon,CHALLENGE_MARATHON,CHALLENGE_SPRINT_FOR_26_MILES_TOTAL,250,,,,b,63360
6,16,606,2606,1,0,1,ch_goodbye,CHALLENGE_GOODBYE,CHALLENGE_FALL_30_FEET_OR_MORE,250,,,,b,1
7,17,607,2607,1,0,1,ch_basejump,CHALLENGE_BASE_JUMP,CHALLENGE_FALL_15_FEET_OR_MORE,250,,,,b,1
8,18,608,2608,1,0,1,ch_swandive,CHALLENGE_SWAN_DIVE,CHALLENGE_FALL_20_FEET_OR_MORE,250,,,,b,1
9,1,609,2609,5,0,3,ch_crouchshot_1,CHALLENGE_CROUCH_SHOT_I,CHALLENGE_KILL_5_ENEMIES_WHILE,50,,,,a,1
10,,,2609,15,5,3,ch_crouchshot_2,CHALLENGE_CROUCH_SHOT_II,CHALLENGE_KILL_15_ENEMIES_WHILE,100,,,,,1
11,,,2609,30,15,3,ch_crouchshot_3,CHALLENGE_CROUCH_SHOT_III,CHALLENGE_KILL_30_ENEMIES_WHILE,250,,,,,1
12,2,610,2610,5,0,3,ch_proneshot_1,CHALLENGE_PRONE_SHOT_I,CHALLENGE_KILL_5_ENEMIES_WHILE1,50,,,,a,1
13,,,2610,15,5,3,ch_proneshot_2,CHALLENGE_PRONE_SHOT_II,CHALLENGE_KILL_15_ENEMIES_WHILE1,100,,,,,1
14,,,2610,30,15,3,ch_proneshot_3,CHALLENGE_PRONE_SHOT_III,CHALLENGE_KILL_30_ENEMIES_WHILE1,250,,,,,1
