a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,681,2681,25,0,3,ch_marksman_pistol_1,CHALLENGE_PISTOL_MARKSMAN_I,CHALLENGE_KILL_25_ENEMIES_WITH_PISTOL,50,,,,a,1
2,,,2681,50,25,3,ch_marksman_pistol_2,CHALLENGE_PISTOL_MARKSMAN_II,CHALLENGE_KILL_50_ENEMIES_WITH_PISTOL,100,,,,,1
3,,,2681,75,50,3,ch_marksman_pistol_3,CHALLENGE_PISTOL_MARKSMAN_III,CHALLENGE_KILL_75_ENEMIES_WITH_PISTOL,250,,,,,1
4,2,682,2682,5,0,3,ch_expert_pistol_1,CHALLENGE_PISTOL_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS_PISTOL,50,,,,a,1
5,,,2682,25,5,3,ch_expert_pistol_2,CHALLENGE_PISTOL_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH_HEADSHOTS_PISTOL,100,,,,,1
6,,,2682,35,25,3,ch_expert_pistol_3,CHALLENGE_PISTOL_EXPERT_III,CHALLENGE_KILL_35_ENEMIES_WITH_HEADSHOTS_PISTOL,250,,,,,1
7,4,683,2683,5,0,3,ch_expert_assault_1,CHALLENGE_ASSAULT_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_A1,50,,,,a,1
8,,,2683,25,5,3,ch_expert_assault_2,CHALLENGE_ASSAULT_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH,100,,,,,1
9,,,2683,35,25,3,ch_expert_assault_3,CHALLENGE_ASSAULT_EXPERT_III,CHALLENGE_KILL_35_ENEMIES_WITH,250,,,,,1
10,5,684,2684,5,0,3,ch_expert_smg_1,CHALLENGE_SMG_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS,50,,,,a,1
11,,,2684,25,5,3,ch_expert_smg_2,CHALLENGE_SMG_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH1,100,,,,,1
12,,,2684,35,25,3,ch_expert_smg_3,CHALLENGE_SMG_EXPERT_III,CHALLENGE_KILL_35_ENEMIES_WITH1,250,,,,,1
13,6,685,2685,5,0,3,ch_expert_lmg_1,CHALLENGE_LMG_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS1,50,,,,a,1
14,,,2685,25,5,3,ch_expert_lmg_2,CHALLENGE_LMG_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH2,100,,,,,1
15,,,2685,35,25,3,ch_expert_lmg_3,CHALLENGE_LMG_EXPERT_III,CHALLENGE_KILL_35_ENEMIES_WITH2,250,,,,,1
16,7,686,2686,5,0,3,ch_expert_hmg_1,CHALLENGE_HMG_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS3,50,,,,a,1
17,,,2686,25,5,3,ch_expert_hmg_2,CHALLENGE_HMG_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH3,100,,,,,1
18,,,2686,35,25,3,ch_expert_hmg_3,CHALLENGE_HMG_EXPERT_III,CHALLENGE_KILL_35_ENEMIES_WITH3,250,,,,,1
19,3,687,2687,5,0,3,ch_expert_boltaction_1,CHALLENGE_BOLT_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS_BOLT,50,,,,a,1
20,,,2687,25,5,3,ch_expert_boltaction_2,CHALLENGE_BOLT_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH_HEADSHOTS_BOLT,100,,,,,1
21,,,2687,35,25,3,ch_expert_boltaction_3,CHALLENGE_BOLT_EXPERT_III,CHALLENGE_KILL_35_ENEMIES_WITH_HEADSHOTS_BOLT,250,,,,,1
22,8,689,2689,5,0,3,ch_masterchef_1,CHALLENGE_MASTER_CHEF_I,CHALLENGE_KILL_5_ENEMIES_WITH_COOKED,50,,,,a,1
23,,,2689,10,5,3,ch_masterchef_2,CHALLENGE_MASTER_CHEF_II,CHALLENGE_KILL_10_ENEMIES_WITH1,100,,,,,1
24,,,2689,20,10,3,ch_masterchef_3,CHALLENGE_MASTER_CHEF_III,CHALLENGE_KILL_20_ENEMIES_WITH,250,,,,,1
25,9,690,2690,5,0,3,ch_artillaryvet_1,CHALLENGE_ARTILLARY_VETERAN_I,CHALLENGE_KILL_5_ENEMIES_BY_CALLING_ART,50,,,,b,1
26,,,2690,15,5,3,ch_artillaryvet_2,CHALLENGE_ARTILLARY_VETERAN_II,CHALLENGE_KILL_15_ENEMIES_BY_CALLING_ART,100,,,,,1
27,,,2690,30,15,3,ch_artillaryvet_3,CHALLENGE_ARTILLARY_VETERAN_III,CHALLENGE_KILL_30_ENEMIES_BY_CALLING_ART,250,,,,,1
28,10,691,2691,5,0,3,ch_dogvet_1,CHALLENGE_DOG_VETERAN_I,CHALLENGE_KILL_5_ENEMIES_BY_CALLING_DOGS,50,,,,b,1
29,,,2691,15,5,3,ch_dogvet_2,CHALLENGE_DOG_VETERAN_II,CHALLENGE_KILL_15_ENEMIES_BY_CALLING_DOGS,100,,,,,1
30,,,2691,30,15,3,ch_dogvet_3,CHALLENGE_DOG_VETERAN_III,CHALLENGE_KILL_30_ENEMIES_BY_CALLING_DOGS,250,,,,,1
31,11,693,2693,5,0,3,ch_flare_1,CHALLENGE_FLARE_I,CHALLENGE_KILL_5_ENEMIES_WHILE_FLARE,50,,,,b,1
32,,,2693,10,5,3,ch_flare_2,CHALLENGE_FLARE_II,CHALLENGE_KILL_10_ENEMIES_WHILE_FLARE,100,,,,,1
33,,,2693,25,10,3,ch_flare_3,CHALLENGE_FLARE_III,CHALLENGE_KILL_25_ENEMIES_WHILE_FLARE,250,,,,,1
34,14,694,2694,5,0,3,ch_tabun_1,CHALLENGE_TABUN_I,CHALLENGE_KILL_5_ENEMIES_WHILE_TABUN,50,,,,c,1
35,,,2694,10,5,3,ch_tabun_2,CHALLENGE_TABUN_II,CHALLENGE_KILL_10_ENEMIES_WHILE_TABUN,100,,,,,1
36,,,2694,25,10,3,ch_tabun_3,CHALLENGE_TABUN_III,CHALLENGE_KILL_25_ENEMIES_WHILE_TABUN,250,,,,,1
37,15,695,2695,1,0,3,ch_shoebox_1,CHALLENGE_SHOEBOX_I,CHALLENGE_KILL_1_ENEMY_BY_SHOE,50,,,,c,1
38,,,2695,5,1,3,ch_shoebox_2,CHALLENGE_SHOEBOX_II,CHALLENGE_KILL_5_ENEMIES_BY_SHOE,100,,,,,1
39,,,2695,10,5,3,ch_shoebox_3,CHALLENGE_SHOEBOX_III,CHALLENGE_KILL_10_ENEMIES_BY_SHOE,250,,,,,1
40,16,696,2696,1,0,3,ch_satchel_1,CHALLENGE_SATCHEL_I,CHALLENGE_KILL_1_ENEMY_BY_SATCHEL,50,,,,c,1
41,,,2696,5,1,3,ch_satchel_2,CHALLENGE_SATCHEL_II,CHALLENGE_KILL_5_ENEMIES_BY_SATCHEL,100,,,,,1
42,,,2696,10,5,3,ch_satchel_3,CHALLENGE_SATCHEL_III,CHALLENGE_KILL_10_ENEMIES_BY_SATCHEL,250,,,,,1
43,12,697,2697,1,0,3,ch_countershoebox_1,CHALLENGE_COUNTERSHOEBOX_I,CHALLENGE_KILL_1_ENEMY_BY_SHOOTING_SHOE,50,,,,b,1
44,,,2697,5,1,3,ch_countershoebox_2,CHALLENGE_COUNTERSHOEBOX_II,CHALLENGE_KILL_5_ENEMIES_BY_SHOOTING_SHOE,100,,,,,1
45,,,2697,10,5,3,ch_countershoebox_3,CHALLENGE_COUNTERSHOEBOX_III,CHALLENGE_KILL_10_ENEMIES_BY_SHOOTING_SHOE,250,,,,,1
46,13,698,2698,1,0,3,ch_countersatchel_1,CHALLENGE_COUNTERSATCHEL_I,CHALLENGE_KILL_1_ENEMY_BY_SHOOTING,50,,,,b,1
47,,,2698,5,1,3,ch_countersatchel_2,CHALLENGE_COUNTERSATCHEL_II,CHALLENGE_KILL_5_ENEMIES_BY_SHOOTING,100,,,,,1
48,,,2698,10,5,3,ch_countersatchel_3,CHALLENGE_COUNTERSATCHEL_III,CHALLENGE_KILL_10_ENEMIES_BY_SHOOTING,250,,,,,1
49,17,699,2699,5,0,3,ch_pyro_1,CHALLENGE_PYRO_I,CHALLENGE_KILL_5_ENEMIES_BY_FLAME,50,,,,,1
50,,,2699,10,5,3,ch_pyro_2,CHALLENGE_PYRO_II,CHALLENGE_KILL_10_ENEMIES_BY_FLAME,100,,,,,1
51,,,2699,25,10,3,ch_pyro_3,CHALLENGE_PYRO_III,CHALLENGE_KILL_25_ENEMIES_BY_FLAME,250,,,,,1
