a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,701,2701,10,0,3,ch_expert_gunner_1,CHALLENGE_TURRET_MG_1,CHALLENGE_TURRET_MG_1_DESC,50,,,,a,1
2,,,2701,25,10,3,ch_expert_gunner_2,CHALLENGE_TURRET_MG_2,CHALLENGE_TURRET_MG_2_DESC,100,,,,,1
3,,,2701,35,25,3,ch_expert_gunner_3,CHALLENGE_TURRET_MG_3,CHALLENGE_TURRET_MG_3_DESC,250,,,,,1
4,2,702,2702,10,0,3,ch_turrethunter_1,CHALLENGE_TURRETHUNTER_1,CHALLENGE_TURRETHUNTER_1_DESC,50,,,,a,1
5,,,2702,25,10,3,ch_turrethunter_2,CHALLENGE_TURRETHUNTER_2,CHALLENGE_TURRETHUNTER_2_DESC,100,,,,,1
6,,,2702,50,25,3,ch_turrethunter_3,CHALLENGE_TURRETHUNTER_3,CHALLENGE_TURRETHUNTER_3_DESC,250,,,,,1
7,3,703,2703,10,0,3,ch_behemouth_1,CHALLENGE_BEHEMOUTH_1,CHALLENGE_BEHEMOUTH_1_DESC,50,,,,a,1
8,,,2703,25,10,3,ch_behemouth_2,CHALLENGE_BEHEMOUTH_2,CHALLENGE_BEHEMOUTH_2_DESC,100,,,,,1
9,,,2703,50,25,3,ch_behemouth_3,CHALLENGE_BEHEMOUTH_3,CHALLENGE_BEHEMOUTH_3_DESC,250,,,,,1
10,4,704,2704,10,0,3,ch_tankvtank_1,CHALLENGE_TANKVTANK_1,CHALLENGE_TANKVTANK_1_DESC,50,,,,a,1
11,,,2704,25,10,3,ch_tankvtank_2,CHALLENGE_TANKVTANK_2,CHALLENGE_TANKVTANK_2_DESC,100,,,,,1
12,,,2704,35,25,3,ch_tankvtank_3,CHALLENGE_TANKVTANK_3,CHALLENGE_TANKVTANK_3_DESC,250,,,,,1
13,5,705,2705,1,0,3,ch_antitankrockets_1,CHALLENGE_ANTITANKROCKET_1,CHALLENGE_ANTITANKROCKET_1_DESC,50,,,,b,1
14,,,2705,5,1,3,ch_antitankrockets_2,CHALLENGE_ANTITANKROCKET_2,CHALLENGE_ANTITANKROCKET_2_DESC,100,,,,,1
15,,,2705,15,5,3,ch_antitankrockets_3,CHALLENGE_ANTITANKROCKET_3,CHALLENGE_ANTITANKROCKET_3_DESC,250,,,,,1
16,6,706,2706,1,0,3,ch_antitankdemolitions_1,CHALLENGE_ANTITANKDEMOLITIONS_1,CHALLENGE_ANTITANKDEMOLITIONS_1_DESC,50,,,,b,1
17,,,2706,5,1,3,ch_antitankdemolitions_2,CHALLENGE_ANTITANKDEMOLITIONS_2,CHALLENGE_ANTITANKDEMOLITIONS_2_DESC,100,,,,,1
18,,,2706,15,5,3,ch_antitankdemolitions_3,CHALLENGE_ANTITANKDEMOLITIONS_3,CHALLENGE_ANTITANKDEMOLITIONS_3_DESC,250,,,,,1
19,7,707,2707,1,0,3,ch_tanksticker_1,CHALLENGE_TANKSTICKER_1,CHALLENGE_TANKSTICKER_1_DESC,50,,,,b,1
20,,,2707,5,1,3,ch_tanksticker_2,CHALLENGE_TANKSTICKER_2,CHALLENGE_TANKSTICKER_2_DESC,100,,,,,1
21,,,2707,15,5,3,ch_tanksticker_3,CHALLENGE_TANKSTICKER_3,CHALLENGE_TANKSTICKER_3_DESC,250,,,,,1
22,8,708,2708,10,0,3,ch_immobilizer_1,CHALLENGE_IMMOBILIZER_1,CHALLENGE_IMMOBILIZER_1_DESC,50,,,,b,1
23,,,2708,25,10,3,ch_immobilizer_2,CHALLENGE_IMMOBILIZER_2,CHALLENGE_IMMOBILIZER_2_DESC,100,,,,,1
24,,,2708,35,25,3,ch_immobilizer_3,CHALLENGE_IMMOBILIZER_3,CHALLENGE_IMMOBILIZER_3_DESC,250,,,,,1
25,9,709,2709,1,0,1,ch_trapper,CHALLENGE_TRAPPER,CHALLENGE_TRAPPER_DESC,250,,,,b,1
26,10,710,2710,1,0,1,ch_tankbomb,CHALLENGE_TANKBOMB,CHALLENGE_COLLATERALDAMAGE_DESC,250,,,,c,1
27,11,711,2711,3168000,0,1,ch_roadtrip,CHALLENGE_ROADTRIP,CHALLENGE_ROADTRIP_DESC,250,,,,c,63360
28,12,712,2712,1,0,1,ch_youtalkintome,CHALLENGE_YOUTALKINGTOME,CHALLENGE_YOUTALKINGTOME_DESC,250,,,,c,1
29,13,713,2713,1,0,1,ch_gotem,CHALLENGE_GOTEM,CHALLENGE_GOTEM_DESC,250,,,,c,1
