a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,721,2721,1,0,1,ch_multifrag,CHALLENGE_MULTIFRAG,CHALLENGE_KILL_2_OR_MORE_ENEMIES2,250,,,,a,1
2,2,722,2722,1,0,1,ch_multimine,CHALLENGE_MULTIMINE,CHALLENGE_KILL_2_OR_MORE_ENEMIES3,250,,,,a,1
3,3,723,2723,1,0,1,ch_backstabber,CHALLENGE_BACKSTABBER,CHALLENGE_STAB_AN_ENEMY_IN_THE,250,,,,b,1
4,4,724,2724,1,0,1,ch_slowbutsure,CHALLENGE_SLOW_BUT_SURE,CHALLENGE_KILL_1_ENEMY_WHILE_BEING,250,,,,b,1
5,5,725,2725,1,0,1,ch_rival,CHALLENGE_RIVAL,CHALLENGE_KILL_THE_SAME_ENEMY_5,250,,,,b,1
6,6,726,2726,1,0,1,ch_cruelty,CHALLENGE_CRUELTY,CHALLENGE_KILL_AN_ENEMY_PICK_UP,250,,,,b,1
7,7,727,2727,1,0,1,ch_specialdelivery,CHALLENGE_SPECIALDELIVERY,CHALLENGE_STICK_1_KILL_2,250,,,,b,1
8,8,728,2728,1,0,1,ch_blindfire,CHALLENGE_BLINDFIRE,CHALLENGE_FINISH_AN_ENEMY_OFF_WHILE_BLINDED,250,,,,b,1
9,9,729,2729,1,0,1,ch_returntosender,CHALLENGE_RETURN_TO_SENDER,CHALLENGE_KILL_AN_ENEMY_BY_SHOOTING,250,,,,c,1
10,10,730,2730,1,0,1,ch_ohnoyoudont,CHALLENGE_OH_NO_YOU_DONT,CHALLENGE_FINISH_AN_ENEMY_DESTROY_BETTY,250,,,,c,1
11,11,731,2731,1,0,3,ch_miserylovescompany_1,CHALLENGE_MISERY_LOVES_COMPANY,CHALLENGE_KILL_YOURSELF_AND_1_ENEMY,50,,,,d,1
12,,,2731,2,1,3,ch_miserylovescompany_2,CHALLENGE_MISERY_LOVES_COMPANY1,CHALLENGE_KILL_YOURSELF_AND_A_2ND,100,,,,,1
13,,,2731,3,2,3,ch_miserylovescompany_3,CHALLENGE_MISERY_LOVES_COMPANY2,CHALLENGE_KILL_YOURSELF_AND_A_3RD,250,,,,,1
14,12,732,2732,1,0,1,ch_thinkfast,CHALLENGE_THINK_FAST,CHALLENGE_FINISH_AN_ENEMY_OFF_BY,250,,,,d,1
15,13,733,2733,1,0,1,ch_thinkfastspecial,CHALLENGE_THINK_FAST_SPECIAL,CHALLENGE_FINISH_AN_ENEMY_OFF_BY_SPECIAL,250,,,,d,1
16,14,734,2734,1,0,3,ch_carbomb_1,CHALLENGE_CAR_BOMB_1,CHALLENGE_KILL_1_ENEMY_BY_DESTROYING,50,,,,e,1
17,,,2734,5,1,3,ch_carbomb_2,CHALLENGE_CAR_BOMB_2,CHALLENGE_KILL_5_ENEMY_BY_DESTROYING,100,,,,,1
18,,,2734,15,5,3,ch_carbomb_3,CHALLENGE_CAR_BOMB_3,CHALLENGE_KILL_10_ENEMY_BY_DESTROYING,250,,,,,1
19,15,735,2735,1,0,3,ch_barrelbomb_1,CHALLENGE_BARREL_BOMB_1,CHALLENGE_KILL_1_ENEMY_BY_DESTROYING_BARREL,50,,,,e,1
20,,,2735,5,1,3,ch_barrelbomb_2,CHALLENGE_BARREL_BOMB_2,CHALLENGE_KILL_5_ENEMY_BY_DESTROYING_BARREL,100,,,,,1
21,,,2735,15,5,3,ch_barrelbomb_3,CHALLENGE_BARREL_BOMB_3,CHALLENGE_KILL_15_ENEMY_BY_DESTROYING_BARREL,250,,,,,1
22,16,736,2736,1,0,3,ch_hotpotato_1,CHALLENGE_HOT_POTATO_I,CHALLENGE_KILL_1_ENEMY_WITH_A_THROWN,50,,,,e,1
23,,,2736,5,1,3,ch_hotpotato_2,CHALLENGE_HOT_POTATO_II,CHALLENGE_KILL_5_ENEMIES_WITH_THROWN,100,,,,,1
24,,,2736,15,5,3,ch_hotpotato_3,CHALLENGE_HOT_POTATO_III,CHALLENGE_KILL_15_ENEMIES_WITH2,250,,,,,1
25,17,737,2737,1,0,3,ch_gib_1,CHALLENGE_GIB_I,CHALLENGE_KILL_1_ENEMY_WITH_A_GIB,50,,,,f,1
26,,,2737,5,1,3,ch_gib_2,CHALLENGE_GIB_II,CHALLENGE_KILL_5_ENEMIES_WITH_A_GIB,100,,,,,1
27,,,2737,15,5,3,ch_gib_3,CHALLENGE_GIB_III,CHALLENGE_KILL_15_ENEMIES_WITH_GIB,250,,,,,1
28,18,738,2738,1,0,3,ch_deathdodger_1,CHALLENGE_DEATHDODGER_I,CHALLENGE_SURVIVEBETTY_I,50,,,,f,1
29,,,2738,5,1,3,ch_deathdodger_2,CHALLENGE_DEATHDODGER_II,CHALLENGE_SURVIVEBETTY_II,100,,,,,1
30,,,2738,15,5,3,ch_deathdodger_3,CHALLENGE_DEATHDODGER_III,CHALLENGE_SURVIVEBETTY_III,250,,,,,1
