a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,621,2621,1,0,3,ch_victor_ffa_1,CHALLENGE_FREEFORALL_VICTOR_I,CHALLENGE_PLACE_IN_THE_TOP_3_IN,50,,,,a,1
2,,,2621,5,1,3,ch_victor_ffa_2,CHALLENGE_FREEFORALL_VICTOR_II,CHALLENGE_PLACE_IN_THE_TOP_3_IN1,100,,,,,1
3,,,2621,10,5,3,ch_victor_ffa_3,CHALLENGE_FREEFORALL_VICTOR_III,CHALLENGE_PLACE_IN_THE_TOP_3_IN2,250,,,,,1
4,2,622,2622,5,0,3,ch_teamplayer_1,CHALLENGE_TEAM_PLAYER_I,CHALLENGE_WIN_5_TEAM_DEATHMATCH,50,,,,a,1
5,,,2622,15,5,3,ch_teamplayer_2,CHALLENGE_TEAM_PLAYER_II,CHALLENGE_WIN_15_TEAM_DEATHMATCH,100,,,,,1
6,,,2622,30,15,3,ch_teamplayer_3,CHALLENGE_TEAM_PLAYER_III,CHALLENGE_WIN_30_TEAM_DEATHMATCH,250,,,,,1
7,8,623,2623,5,0,3,ch_victor_sd_1,CHALLENGE_SD_VICTOR_I,CHALLENGE_WIN_5_SEARCH_AND_DESTROY,50,,,,a,1
8,,,2623,15,5,3,ch_victor_sd_2,CHALLENGE_SD_VICTOR_II,CHALLENGE_WIN_15_SEARCH_AND_DESTROY,100,,,,,1
9,,,2623,30,15,3,ch_victor_sd_3,CHALLENGE_SD_VICTOR_III,CHALLENGE_WIN_30_SEARCH_AND_DESTROY,250,,,,,1
10,7,624,2624,5,0,3,ch_victor_ctf_1,CHALLENGE_CTF_VICTOR_I,CHALLENGE_WIN_5_CAPTURE_THE_FLAG,50,,,,a,1
11,,,2624,15,5,3,ch_victor_ctf_2,CHALLENGE_CTF_VICTOR_II,CHALLENGE_WIN_15_CAPTURE_THE_FLAG,100,,,,,1
12,,,2624,30,15,3,ch_victor_ctf_3,CHALLENGE_CTF_VICTOR_III,CHALLENGE_WIN_30_CAPTURE_THE_FLAG,250,,,,,1
13,9,625,2625,5,0,3,ch_teamplayer_hc_1,CHALLENGE_HARDCORE_TEAM_PLAYER_I,CHALLENGE_WIN_5_HARDCORE_TEAM_DEATHMATCH,50,,,,b,1
14,,,2625,15,5,3,ch_teamplayer_hc_2,CHALLENGE_HARDCORE_TEAM_PLAYER_II,CHALLENGE_WIN_15_HARDCORE_TEAM_DEATHMATCH,100,,,,,1
15,,,2625,30,15,3,ch_teamplayer_hc_3,CHALLENGE_HARDCORE_TEAM_PLAYER_III,CHALLENGE_WIN_30_HARDCORE_TEAM_DEATHMATCH,250,,,,,1
