a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,860,2860,40000,0,1,ch_mak_1,CHALLENGE_MAK,CHALLENGE_GET_40000_POINTS,500,,,,,40000
2,2,861,2861,60000,0,1,ch_pel1_1,CHALLENGE_PEL1,CHALLENGE_GET_60000_POINTS,500,,,,,60000
3,3,862,2862,70000,0,1,ch_pel2_1,CHALLENGE_PEL2,CHALLENGE_GET_70000_POINTS,500,,,,,70000
4,4,864,2864,60000,0,1,ch_see1_1,CHALLENGE_SEE1,CHALLENGE_GET_60000_POINTS,500,,,,,60000
5,5,865,2865,30000,0,1,ch_pel1a_1,CHALLENGE_PEL1A,CHALLENGE_GET_30000_POINTS,500,,,,,30000
6,6,866,2866,50000,0,1,ch_pel1b_1,CHALLENGE_PEL1B,CHALLENGE_GET_50000_POINTS,500,,,,,50000
7,7,863,2863,80000,0,1,ch_see2_1,CHALLENGE_SEE2,CHALLENGE_GET_80000_POINTS,500,,,,,80000
8,8,867,2867,40000,0,1,ch_ber1_1,CHALLENGE_BER1,CHALLENGE_GET_40000_POINTS,500,,,,,40000
9,9,868,2868,60000,0,1,ch_ber2_1,CHALLENGE_BER2,CHALLENGE_GET_60000_POINTS,500,,,,,60000
10,10,869,2869,50000,0,1,ch_oki2_1,CHALLENGE_OKI2,CHALLENGE_GET_50000_POINTS,500,,,,,50000
11,11,870,2870,100000,0,1,ch_oki3_1,CHALLENGE_OKI3,CHALLENGE_GET_100000_POINTS,500,,,,,100000
12,12,871,2871,100000,0,1,ch_ber3_1,CHALLENGE_BER3,CHALLENGE_GET_100000_POINTS,500,,,,,100000
13,13,872,2872,80000,0,1,ch_ber3b_1,CHALLENGE_BER3B,CHALLENGE_GET_80000_POINTS,500,,,,,80000
14,14,873,2873,127,0,1,ch_pacific_tour_1,CHALLENGE_PACIFIC_TOUR,CHALLENGE_COMPLETE_PACIFIC_TOUR,250,,,,,127
15,15,874,2874,63,0,1,ch_european_tour_1,CHALLENGE_EUROPEAN_TOUR,CHALLENGE_COMPLETE_EUROPEAN_TOUR,250,,,,,63
