a1,b2,c3,d4,e5,f6,g7,g8,g9
248,30cal_mp2,2,1,1,Deaths By,Hits By,,
249,357magnum_mp2,2,1,1,Deaths By,Hits By,,
250,bar_mp2,2,1,1,Deaths By,Hits By,,
251,bazooka_mp2,2,1,1,Deaths By,Hits By,,
252,colt_mp2,2,1,1,Deaths By,Hits By,,
253,doublebarreledshotgun_mp2,2,1,1,Deaths By,Hits By,,
254,dp28_mp2,2,1,1,Deaths By,Hits By,,
255,fg42_mp2,2,1,1,Deaths By,Hits By,,
256,frag_grenade_mp2,2,1,1,Deaths By,Hits By,,
257,gewehr43_mp2,2,1,1,Deaths By,Hits By,,
258,kar98k_mp2,2,1,1,Deaths By,Hits By,,
259,m1carbine_mp2,2,1,1,Deaths By,Hits By,,
260,m1garand_mp2,2,1,1,Deaths By,Hits By,,
261,m2_flamethrower_mp2,2,1,1,Deaths By,Hits By,,
262,m8_white_smoke_mp2,2,1,1,Deaths By,Hits By,,
263,mg42_mp2,2,1,1,Deaths By,Hits By,,
264,mine_bouncing_betty_mp2,2,1,1,Deaths By,Hits By,,
265,molotov_mp2,2,1,1,Deaths By,Hits By,,
266,mosinrifle_mp2,2,1,1,Deaths By,Hits By,,
267,mp40_mp2,2,1,1,Deaths By,Hits By,,
268,nambu_mp2,2,1,1,Deaths By,Hits By,,
269,ppsh_mp2,2,1,1,Deaths By,Hits By,,
270,ptrs41_mp2,2,1,1,Deaths By,Hits By,,
271,satchel_charge_mp2,2,1,1,Deaths By,Hits By,,
272,shotgun_mp2,2,1,1,Deaths By,Hits By,,
273,signal_flare_mp2,2,1,1,Deaths By,Hits By,,
274,stg44_mp2,2,1,1,Deaths By,Hits By,,
275,springfield_mp2,2,1,1,Deaths By,Hits By,,
276,sticky_grenade_mp2,2,1,1,Deaths By,Hits By,,
277,svt40_mp2,2,1,1,Deaths By,Hits By,,
278,tabun_gas_mp2,2,1,1,Deaths By,Hits By,,
279,thompson_mp2,2,1,1,Deaths By,Hits By,,
280,tokarev_mp2,2,1,1,Deaths By,Hits By,,
281,type100smg_mp2,2,1,1,Deaths By,Hits By,,
282,type99lmg_mp2,2,1,1,Deaths By,Hits By,,
283,type99rifle_mp2,2,1,1,Deaths By,Hits By,,
284,walther_mp2,2,1,1,Deaths By,Hits By,,
285,panzer4_gunner_mp2,2,1,1,Deaths By,Hits By,,
286,panzer4_turret_mp2,2,1,1,Deaths By,Hits By,,
287,t34_gunner_mp2,2,1,1,Deaths By,Hits By,,
288,t34_turret_mp2,2,1,1,Deaths By,Hits By,,
289,dog_bite_mp2,2,1,1,Deaths By,Hits By,,
