a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,896,2896,1,0,1,ch_multiplier_1,CHALLENGE_X_MULTIPLIER,CHALLENGE_GET_X_MULTIPLIER,100,,,,,1
2,2,890,2890,1,0,1,ch_diehard_1,CHALLENGE_DIE_HARD,CHALLENGE_GET_30_KILLSTREAK,100,,,,,1
3,3,891,2891,1,0,1,ch_bulletproof_1,CHALLENGE_BULLETPROOF,CHALLENGE_GET_50_KILLSTREAK,250,,,,,1
4,4,892,2892,1,0,1,ch_goldengod_1,CHALLENGE_GOLDEN_GOD,CHALLENGE_GET_X_KILLSTREAK,500,,,,,1
5,5,893,2893,1,0,1,ch_headshot_1,CHALLENGE_HAT_TRICK,CHALLENGE_GET_3_HEADSHOTS_IN_A_ROW,250,,,,,1
6,6,895,2895,5,0,1,ch_goooal_1,CHALLENGE_GOOOAL,CHALLENGE_GET_5_KILLS_WITH_1_GRENADE,250,,,,,5
7,7,898,2898,1,0,1,ch_backdraft_1,CHALLENGE_BACKDRAFT,CHALLENGE_GET_3_KILLS_FROM_EXPLOSION,250,,,,,1
8,8,899,2899,8,0,1,ch_bbq_1,CHALLENGE_BBQ,CHALLENGE_GET_8_QUICK_FLAME_KILLS,250,,,,,8
9,9,900,2900,1,0,1,ch_hothands_1,CHALLENGE_HOTHANDS,CHALLENGE_GET_HOTHANDS,250,,,,,1
10,10,897,2897,1,0,1,ch_brasscollector_1,CHALLENGE_BRASS_COLLECTOR,CHALLENGE_FINISH_LEVEL_WITHOUT_RELOADING,250,,,,,1
11,11,894,2894,1,0,1,ch_purpleheart_1,CHALLENGE_PURPLE_HEART,CHALLENGE_NO_LAST_STAND,250,,,,,1
12,12,903,2903,1,0,1,ch_doubleheader_1,CHALLENGE_DOUBLEHEADER,CHALLENGE_GET_DOUBLEHEADER,250,,,,,1
13,13,904,2904,1,0,1,ch_fleaflicker_1,CHALLENGE_FLEAFLICKER,CHALLENGE_GET_FLEAFLICKER,250,,,,,1
14,14,901,2901,20,0,1,ch_tipeofthehat_1,CHALLENGE_TIPOFTHEHAT,CHALLENGE_GET_TIPOFTHEHAT,250,,,,,1
15,15,902,2902,1,0,1,ch_wagofthefinger_1,CHALLENGE_WAGOFTHEFINGER,CHALLENGE_GET_WAGOFTHEFINGER,250,,,,,1
