a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22
512,0,10,global,kill_enemy_through_wall,CHALLENGE_X_RAY_VISION,500,0,,,boot_camp_graduate,3,,,,,,,,,,,
513,1,25,global,kill_enemy_through_wall,CHALLENGE_X_RAY_VISION,1000,0,,,boot_camp_graduate,3,,,,,,,,,,,
514,2,50,global,kill_enemy_through_wall,CHALLENGE_X_RAY_VISION,2500,0,,,boot_camp_graduate,3,EM_BACK_CH_514,,,,bootcamp,,,,,,
515,0,10,global,kill_prone_enemy,CHALLENGE_SPOTTER,500,0,,,boot_camp_graduate,3,,,,,,,,,,,
516,1,25,global,kill_prone_enemy,CHALLENGE_SPOTTER,1000,0,,,boot_camp_graduate,3,,,,,,,,,,,
517,2,50,global,kill_prone_enemy,CHALLENGE_SPOTTER,2500,0,,,boot_camp_graduate,3,EM_BACK_CH_517,,,,bootcamp,,,,,,
518,0,10,global,kill_enemy_while_prone,CHALLENGE_LAID_TO_REST,500,0,,,boot_camp_graduate,3,,,,,,,,,,,
519,1,25,global,kill_enemy_while_prone,CHALLENGE_LAID_TO_REST,1000,0,,,boot_camp_graduate,3,,,,,,,,,,,
520,2,50,global,kill_enemy_while_prone,CHALLENGE_LAID_TO_REST,2500,0,,,boot_camp_graduate,3,EM_BACK_CH_520,,,,bootcamp,,,,,,
521,0,10,global,kill_enemy_while_crouched,CHALLENGE_STALKING_PREY,500,0,,,boot_camp_graduate,3,,,,,,,,,,,
522,1,25,global,kill_enemy_while_crouched,CHALLENGE_STALKING_PREY,1000,0,,,boot_camp_graduate,3,,,,,,,,,,,
523,2,50,global,kill_enemy_while_crouched,CHALLENGE_STALKING_PREY,2500,0,,,boot_camp_graduate,3,EM_BACK_CH_523,,,,bootcamp,,,,,,
524,0,5,global,destroy_equipment,CHALLENGE_ALL_CLEAR,500,0,,,boot_camp_graduate,3,EM_CH_524,,,,bootcamp,,,,,,
525,0,10,global,assist,CHALLENGE_ASSISTED_HOMICIDE,500,0,,,boot_camp_graduate,3,EM_CH_525,,,,bootcamp,,,,,,
526,0,5,global,destroy_explosive,CHALLENGE_BACKDRAFT,500,0,,,boot_camp_graduate,3,EM_CH_526,,,,bootcamp,,,,,,
527,0,5,global,kill_enemy_with_picked_up_weapon,CHALLENGE_GUERILLA_WARFARE,500,0,,,boot_camp_graduate,3,EM_CH_527,,,,bootcamp,,,,,,
528,0,5,global,destroy_car,CHALLENGE_VANDALISM,500,0,,,boot_camp_graduate,3,EM_CH_528,,,,bootcamp,,,,,,
529,0,1,global,medal_kill_enemy_recent_dive_prone,CHALLENGE_ACTION_HERO,500,0,,,boot_camp_graduate,3,EM_CH_529,,,,bootcamp,,,,,,
530,0,5,global,mantle_then_kill,CHALLENGE_COMMANDO,500,0,,,boot_camp_graduate,3,EM_CH_530,,,,bootcamp,,,,,,
531,0,10,global,kill_with_2_perks_same_category,CHALLENGE_PERK_GREED,500,0,,,boot_camp_graduate,3,EM_CH_531,,,,bootcamp,,,,,,
532,0,1,global,kill_with_dual_lethal_grenades,CHALLENGE_DANGER_CLOSE,500,0,,,boot_camp_graduate,3,EM_CH_532,,,,bootcamp,,,,,,
533,0,1,global,kill_with_both_primary_weapons,CHALLENGE_OVERKILL,500,0,,,boot_camp_graduate,3,EM_CH_533,,,,bootcamp,,,,,,
534,0,20,global,kill_with_loadout_weapon_with_3_attachments,CHALLENGE_GUNFIGHTER,500,0,,,boot_camp_graduate,3,EM_CH_534,,,,bootcamp,,,,,,
535,0,23,global,boot_camp_graduate,CHALLENGE_BOOT_CAMP_GRADUATE,5000,0,,,,3,EM_BACK_CH_535,,,,bootcamp,,,,,,
536,0,10,global,medal_killstreak_5,CHALLENGE_BLOODTHIRSTY_KILLER,1000,0,,,master_killer,14,,,,,,,,,,,
537,1,20,global,medal_killstreak_5,CHALLENGE_BLOODTHIRSTY_KILLER,1500,0,,,master_killer,14,,,,,,,,,,,
538,2,30,global,medal_killstreak_5,CHALLENGE_BLOODTHIRSTY_KILLER,2500,0,,,master_killer,14,EM_BACK_CH_538,,,,killer,,,,,,
539,0,5,global,medal_killstreak_10,CHALLENGE_MERCILESS_KILLER,1000,0,,,master_killer,14,,,,,,,,,,,
540,1,10,global,medal_killstreak_10,CHALLENGE_MERCILESS_KILLER,1500,0,,,master_killer,14,,,,,,,,,,,
541,2,15,global,medal_killstreak_10,CHALLENGE_MERCILESS_KILLER,2500,0,,,master_killer,14,EM_BACK_CH_541,,,,killer,,,,,,
542,0,1,global,medal_killstreak_15,CHALLENGE_RUTHLESS_KILLER_SINGULAR,1000,0,,,master_killer,14,,,,,,,,,,,
543,1,3,global,medal_killstreak_15,CHALLENGE_RUTHLESS_KILLER,2500,0,,,master_killer,14,,,,,,,,,,,
544,2,5,global,medal_killstreak_15,CHALLENGE_RUTHLESS_KILLER,5000,0,,,master_killer,14,EM_BACK_CH_544,,,,killer,,,,,,
545,0,1,global,medal_killstreak_20,CHALLENGE_RELENTLESS_KILLER_SINGULAR,1000,0,,,master_killer,14,,,,,,,,,,,
546,1,2,global,medal_killstreak_20,CHALLENGE_RELENTLESS_KILLER,2500,0,,,master_killer,14,,,,,,,,,,,
547,2,3,global,medal_killstreak_20,CHALLENGE_RELENTLESS_KILLER,5000,0,,,master_killer,14,EM_BACK_CH_547,,,,killer,,,,,,
548,0,1,global,medal_killstreak_25,CHALLENGE_BRUTAL_KILLER,5000,0,,,master_killer,14,EM_CH_548,,,,killer,,,,,,
549,0,1,global,medal_killstreak_30,CHALLENGE_NUCLEAR_KILLER,5000,0,,,master_killer,14,EM_BACK_CH_549,,,,killer,,,,,,
550,0,2,global,medal_multikill_2,CHALLENGE_DOUBLE_KILLER,500,0,,,master_killer,14,,,,,,,,,,,
551,1,10,global,medal_multikill_2,CHALLENGE_DOUBLE_KILLER,750,0,,,master_killer,14,,,,,,,,,,,
552,2,20,global,medal_multikill_2,CHALLENGE_DOUBLE_KILLER,1000,0,,,master_killer,14,EM_BACK_CH_552,,,,killer,,,,,,
553,0,2,global,medal_multikill_3,CHALLENGE_TRIPLE_KILLER,1000,0,,,master_killer,14,,,,,,,,,,,
554,1,10,global,medal_multikill_3,CHALLENGE_TRIPLE_KILLER,2000,0,,,master_killer,14,,,,,,,,,,,
