a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22
256,0,50,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,250,,,reticle_1,challenges,3,,reflex,,,,,,,,,
257,1,100,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,500,,,reticle_2,challenges,3,,reflex,,,,,,,,,
258,2,200,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,1000,,,reticle_3,challenges,3,,reflex,,,,,,,,,
259,3,300,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,2000,,,reticle_4,challenges,3,,reflex,,,,,,,,,
260,4,400,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,2500,,,reticle_5,challenges,3,,reflex,,,,,,,,,
261,5,500,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,5000,,,reticle_6,challenges,3,,reflex,,,,,,,,,
262,0,25,attachment,headshots,CHALLENGE_MILESTONE_OPTIC_HEADSHOTS,2500,261,,reticle_7,challenges,3,,reflex,,,,,,,,,
263,0,20,attachment,multikill_2,CHALLENGE_OPTIC_DOUBLEKILL,2500,261,,reticle_8,challenges,3,,reflex,,,,,,,,,
264,0,10,attachment,longshot_kill,CHALLENGE_OPTIC_LONGSHOTS,2500,261,,reticle_9,challenges,3,,reflex,,,,,,,,,
265,0,10,attachment,killstreak_5_attachment,CHALLENGE_OPTIC_BLOODTHIRSTY,2500,261,,reticle_10,challenges,3,,reflex,,,,,,,,,
266,0,10,attachment,challenges,CHALLENGE_OPTIC_MASTERY,10000,,,,,3,EM_BACK_CH_266_,reflex,,,reflex,,,,,,
267,0,50,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,250,,,reticle_1,challenges,3,,acog,,,,,,,,,
268,1,100,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,500,,,reticle_2,challenges,3,,acog,,,,,,,,,
269,2,200,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,1000,,,reticle_3,challenges,3,,acog,,,,,,,,,
270,3,300,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,2000,,,reticle_4,challenges,3,,acog,,,,,,,,,
271,4,400,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,2500,,,reticle_5,challenges,3,,acog,,,,,,,,,
272,5,500,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,5000,,,reticle_6,challenges,3,,acog,,,,,,,,,
273,0,25,attachment,headshots,CHALLENGE_MILESTONE_OPTIC_HEADSHOTS,2500,272,,reticle_7,challenges,3,,acog,,,,,,,,,
274,0,20,attachment,multikill_2,CHALLENGE_OPTIC_DOUBLEKILL,2500,272,,reticle_8,challenges,3,,acog,,,,,,,,,
275,0,10,attachment,longshot_kill,CHALLENGE_OPTIC_LONGSHOTS,2500,272,,reticle_9,challenges,3,,acog,,,,,,,,,
276,0,10,attachment,killstreak_5_attachment,CHALLENGE_OPTIC_BLOODTHIRSTY,2500,272,,reticle_10,challenges,3,,acog,,,,,,,,,
277,0,10,attachment,challenges,CHALLENGE_OPTIC_MASTERY,10000,,,,,3,EM_BACK_CH_277_,acog,,,acog,,,,,,
